Record Length,2500,Points,response time,response voltage,,Record Length,2500,Points,signal time,signal voltage,
,,,-14.1999981E-6,-1.6000000E-3,,,,,-14.1999981E-6,199.99998808E-3,
,,,-14.0999982E-6,-1.6000000E-3,,,,,-14.0999982E-6,199.99998808E-3,
,,,-13.9999984E-6,-1.6000000E-3,,,,,-13.9999984E-6,199.99998808E-3,
,,,-13.8999976E-6,-1.6000000E-3,,,,,-13.8999976E-6,199.99998808E-3,
,,,-13.7999978E-6,-1.6000000E-3,,,,,-13.7999978E-6,199.99998808E-3,
,,,-13.6999979E-6,-1.6000000E-3,,,,,-13.6999979E-6,199.99998808E-3,
,,,-13.5999981E-6,-1.6000000E-3,,,,,-13.5999981E-6,199.99998808E-3,
,,,-13.4999982E-6,-1.6000000E-3,,,,,-13.4999982E-6,199.99998808E-3,
,,,-13.3999984E-6,-1.6000000E-3,,,,,-13.3999984E-6,199.99998808E-3,
,,,-13.2999976E-6,-1.6000000E-3,,,,,-13.2999976E-6,199.99998808E-3,
,,,-13.1999977E-6,-1.6000000E-3,,,,,-13.1999977E-6,159.99999642E-3,
,,,-13.0999979E-6,-1.6000000E-3,,,,,-13.0999979E-6,199.99998808E-3,
,,,-12.9999980E-6,-1.6000000E-3,,,,,-12.9999980E-6,159.99999642E-3,
,,,-12.8999982E-6,-1.6000000E-3,,,,,-12.8999982E-6,199.99998808E-3,
,,,-12.7999983E-6,-1.6000000E-3,,,,,-12.7999983E-6,199.99998808E-3,
,,,-12.6999976E-6,-1.6000000E-3,,,,,-12.6999976E-6,199.99998808E-3,
,,,-12.5999977E-6,-1.6000000E-3,,,,,-12.5999977E-6,159.99999642E-3,
,,,-12.4999979E-6,-1.6000000E-3,,,,,-12.4999979E-6,199.99998808E-3,
,,,-12.3999980E-6,-1.6000000E-3,,,,,-12.3999980E-6,199.99998808E-3,
,,,-12.2999982E-6,-1.6000000E-3,,,,,-12.2999982E-6,199.99998808E-3,
,,,-12.1999983E-6,-1.6000000E-3,,,,,-12.1999983E-6,199.99998808E-3,
,,,-12.0999985E-6,-1.6000000E-3,,,,,-12.0999985E-6,199.99998808E-3,
,,,-11.9999977E-6,-1.6000000E-3,,,,,-11.9999977E-6,199.99998808E-3,
,,,-11.8999978E-6,-1.6000000E-3,,,,,-11.8999978E-6,199.99998808E-3,
